China	  ***  	China  ; People's Republic of China  ; mainland China  ; Communist China  ; Red China  ; PRC  ; Cathay	country
Estados Unidos	  ***  	United States  ; United States of America  ; America  ; the States  ; US  ; U.S.  ; USA  ; U.S.A.	country
Italia	  ***  	Italy  ; Italian Republic  ; Italia	country
Japón	  ***  	Japan  ; Nippon  ; Nihon	country
Reino Unido	  ***  	United Kingdom  ; UK  ; U.K.  ; Britain  ; United Kingdom of Great Britain and Northern Ireland  ; Great Britain	country
Reino de España	  ***  	Spain  ; Kingdom of Spain  ; Espana	country
República Checa	  ***  	Czech Republic	country
República Federal de Alemania	  ***  	Germany  ; Federal Republic of Germany  ; Deutschland  ; FRG	country
República Francesa	  ***  	France  ; French Republic	country
República de la India	  ***  	India  ; Republic of India  ; Bharat	country
a	  ***  	at	preposition
a	  ***  	at	preposition
a lo largo de ; junto con	  ***  	along	adverb
a través de ; dentro de ; por	  ***  	through	adverb
a veces	  ***  	sometimes	adverb
abajo	  ***  	down  ; downwards  ; downward  ; downwardly	adverb
abajo  ; debajo	  ***  	down	adjective
abandonar ; dejar	  ***  	leave	verb
abeja	  ***  	bee	animal
abierto	  ***  	open  ; unfastened	adjective-basic
abonar ; pagar	  ***  	pay	verb-basic
abril	  ***  	April  ; Apr	time
abrillantar	  ***  	polish  ; smooth  ; smoothen  ; shine	verb
abrir	  ***  	open  ; open up	verb-basic
absoluto ; completo ; perfecto ; total	  ***  	full  ; total	adjective
abuelo	  ***  	grandfather  ; gramps  ; granddad  ; grandad  ; granddaddy  ; grandpa	family
acabar ; cesar ; concluir ; parar ; terminar	  ***  	end  ; stop  ; finish  ; terminate  ; cease	verb
acalorado	  ***  	hot	adjective-basic
acarrear ; llevar ; traer ; transportar	  ***  	bring  ; convey  ; take	verb
accidente	  ***  	accident	transport
acción ; actividad	  ***  	activity  ; action  ; activeness	abstract
acción ; acto	  ***  	act  ; deed  ; human action  ; human activity	abstract
acción ; acto ; hecho	  ***  	action	abstract
acción ; título	  ***  	share	business
aceite	  ***  	oil	food
aceituna	  ***  	olive	vegetable
aceptar ; querer ; alojar	  ***  	accept  ; take  ; have	verb
acerca de	  ***  	after	adjective
acero	  ***  	steel	material
acertado ; correcto	  ***  	correct  ; right	adjective-basic
acoplar ; reunir	  ***  	join  ; bring together	verb
acrecentar	  ***  	enhance  ; heighten  ; raise	verb
actitud ; disposición ; postura	  ***  	attitude  ; mental attitude	abstract
actor ; intérprete ; farandulero ; cómico	  ***  	actor  ; histrion  ; player  ; thespian  ; role player	profession
actriz	  ***  	actress	profession
actual ; presente ; ofrenda	  ***  	present	adjective
actualidad ; presente	  ***  	present  ; nowadays	time
actualmente	  ***  	now  ; at present	adverb
actuar ; hacer ; representar	  ***  	act  ; move	verb
acuerdo ; pacto ; contrato	  ***  	agreement  ; understanding	business
acusar	  ***  	accuse  ; charge	verb
adelante	  ***  	before  ; ahead  ; in front	adverb
adelante	  ***  	forward  ; forwards  ; frontward  ; frontwards  ; forrad  ; forrard	adverb
además de	  ***  	beside	preposition
adentro	  ***  	inside  ; within	adverb
adición	  ***  	addition  ; add-on  ; improver	abstract
admitir ; reconocer	  ***  	admit  ; acknowledge	verb
adorno ; decoración	  ***  	decoration  ; ornament  ; ornamentation	abstract
adquirir ; comprar	  ***  	buy  ; purchase	verb-basic
adversario ; rival	  ***  	competitor  ; rival  ; challenger  ; competition  ; contender	sports
advertencia ; consejo	  ***  	advice	business
aeropuerto ; aeródromo	  ***  	airport  ; airdrome  ; aerodrome  ; drome	city
afanar ; quitar	  ***  	steal	verb
afección ; enfermedad	  ***  	disease	medicine
afectar ; conmover	  ***  	affect  ; impact  ; bear upon  ; bear on  ; touch on  ; touch	verb
afirmación ; declaración	  ***  	statement	communication
afortunado	  ***  	lucky	adjective
afán ; dedicación ; esfuerzo ; agotamiento	  ***  	effort  ; elbow grease  ; exertion  ; travail  ; sweat	abstract
agente ; guardia ; oficial ; policía	  ***  	policeman  ; police officer  ; officer	profession
agosto	  ***  	August  ; Aug	time
agradable ; bonito ; simpático	  ***  	nice	adjective-basic
agradar ; complacer ; encantar	  ***  	please  ; delight	verb
agradecer	  ***  	thank  ; give thanks	verb
agregar ; añadir	  ***  	add	verb
agrupación ; colectivo ; grupo	  ***  	group  ; grouping	business
agua	  ***  	water  ; H2O	drink
aguantar ; sostener ; sujetar	  ***  	hold  ; take hold	verb
aguardar ; contar ; esperar	  ***  	expect  ; look  ; await  ; wait	verb
agudo ; afilado ; cortante	  ***  	sharp  ; acuate  ; acute  ; needlelike	adjective-basic
aguja	  ***  	needle	tool
agujero ; cavidad ; hueco	  ***  	hole	abstract
ahorrar	  ***  	save  ; preserve	verb
ahí	  ***  	here  ; hither	adverb
ahí	  ***  	there  ; at that place  ; in that location	adverb
airado	  ***  	angry	adjective-people
aire	  ***  	air	nature
aire ; atmósfera	  ***  	atmosphere  ; air	environment
ajo	  ***  	garlic  ; ail	vegetable
ala	  ***  	wing	anatomy
alambre	  ***  	wire	object
alcance	  ***  	reach  ; range	abstract
alcance ; ámbito ; esfera ; marco	  ***  	range  ; scope  ; reach  ; orbit  ; compass  ; ambit	science
alcanzar ; ganar	  ***  	reach  ; make  ; attain  ; hit  ; arrive at  ; gain	verb
alcanzar ; lograr	  ***  	achieve  ; accomplish  ; attain  ; reach	verb
alcoba ; dormitorio ; habitación ; pieza ; cuarto ; dependencia	  ***  	bedroom  ; sleeping room  ; sleeping accommodation  ; chamber  ; bedchamber	house
alemán	  ***  	German  ; High German  ; German language	language
alfiler	  ***  	pin	object
alfombra ; tapete ; tapiz ; moqueta	  ***  	carpet  ; rug  ; carpeting	furniture
algodón	  ***  	cotton	material
aliento ; respiración ; ánimo ; soplo ; anhelo	  ***  	breath	anatomy
alimento ; comida	  ***  	food  ; nutrient	food
almuerzo ; comida	  ***  	lunch  ; luncheon  ; tiffin  ; dejeuner	food
almuerzo ; desayuno	  ***  	breakfast	food
alrededor	  ***  	about  ; around	adverb
alteración ; cambio ; modificación ; variación	  ***  	change  ; alteration  ; modification	abstract
alterar ; cambiar	  ***  	change  ; alter  ; modify	verb
alternativa ; elección ; opción	  ***  	option  ; alternative  ; choice	science
altitud ; altura ; elevación	  ***  	height  ; altitude	geography
alto	  ***  	high	adjective-basic
alto	  ***  	tall	adjective
alto	  ***  	up  ; upwards  ; upward  ; upwardly	adverb
alubia ; judía	  ***  	bean  ; edible bean	vegetable
aludir ; citar ; mencionar ; mentar ; nombrar	  ***  	mention  ; advert  ; bring up  ; cite  ; name  ; refer	verb
alumno ; estudiante	  ***  	student  ; pupil  ; educatee	education
alzar ; elevar ; levantar ; subir ; acosar ; realzar	  ***  	lift  ; raise  ; elevate  ; get up  ; bring up	verb
alzar ; levantar	  ***  	stand  ; stand up	verb
amable ; simpático ; gentil	  ***  	kind	adjective-people
amar ; querer	  ***  	love	verb-basic
amargo	  ***  	bitter	adjective
amarillo	  ***  	yellow  ; yellowish  ; xanthous	color
ambos	  ***  	both	adjective
amigo	  ***  	friend	family
amistoso ; amigable	  ***  	friendly	adjective-people
amo ; dueña ; dueño ; propietario	  ***  	owner  ; possessor	business
amor ; cariño ; cielo ; corazón ; sol ; dulzura ; querida	  ***  	dear  ; beloved  ; dearest  ; honey  ; love	relations
amor ; pasión	  ***  	love	feeling
amplio ; ancho	  ***  	wide  ; broad	adjective
ananá	  ***  	pineapple  ; ananas	fruit
andar ; caminar	  ***  	walk	verb
anillo	  ***  	ring  ; band	clothes
animal ; bestia ; criatura	  ***  	animal  ; animate being  ; beast  ; brute  ; creature  ; fauna	nature
animar  ; estimular	  ***  	encourage	verb
anochecer ; atardecer ; noche	  ***  	evening  ; eve  ; even  ; eventide	time
ansioso	  ***  	impatient	adjective-people
ante todo	  ***  	particularly  ; peculiarly  ; especially  ; specially	adverb
anterior	  ***  	previous  ; old	adjective
antes	  ***  	before  ; earlier	adverb
antiguo ; anterior	  ***  	former  ; erstwhile  ; old  ; onetime  ; one-time  ; quondam  ; sometime	adjective
anunciar ; proclamar	  ***  	announce  ; denote	verb
anuncio ; cartel ; letrero	  ***  	advertisement  ; ad  ; advertizement  ; advertising  ; advertizing  ; advert	business
anuncio ; proclamación	  ***  	announcement  ; proclamation  ; annunciation  ; declaration	communication
apariencia ; aspecto ; estampa ; expresión	  ***  	expression  ; look  ; aspect  ; facial expression  ; face	communication
apartado ; sección	  ***  	section  ; subdivision	business
apartamento ; piso ; departamento	  ***  	flat  ; apartment	city
aplastar	  ***  	crush	verb
aplastar	  ***  	smash  ; nail  ; boom  ; blast	verb
aplastar ; machacar	  ***  	crush  ; squash  ; squelch  ; mash  ; squeeze	verb
apoyar ; respaldar	  ***  	support  ; back up	verb
apoyo ; ayuda	  ***  	support	business
apreciación ; opinión ; parecer ; visión ; dictamen ; conjetura ; informe ; concepto	  ***  	opinion  ; sentiment  ; persuasion  ; view  ; thought	communication
aprender	  ***  	learn  ; larn  ; acquire	verb-basic
apretado	  ***  	tight	adjective
apretar ; empujar	  ***  	push  ; force	verb-basic
apretar ; presionar	  ***  	press	verb
aprobación ; aceptación ; adhesión ; consentimiento ; consenso	  ***  	approval  ; blessing  ; approving	communication
aproximadamente	  ***  	approximately  ; about  ; close to  ; just about  ; some  ; roughly  ; more or less  ; around  ; or so	adverb
aquel	  ***  	that	pronoun
aquí	  ***  	here	adverb
arar  ; binar	  ***  	plow  ; plough  ; turn	verb
arco iris	  ***  	rainbow	weather
arder ; incendiar ; quemar	  ***  	burn  ; fire  ; burn down	verb
arena	  ***  	sand	material
argumento	  ***  	argument  ; statement	communication
armario	  ***  	cupboard  ; closet	furniture
arrastrar ; estirar ; tirar	  ***  	pull  ; draw  ; force	verb-basic
arriesgar ; aventurar	  ***  	risk  ; gamble  ; chance  ; hazard  ; take chances  ; adventure  ; run a risk  ; take a chance	verb
arroz	  ***  	rice	food
arte	  ***  	art  ; fine art	art
artificial ; falso	  ***  	fake  ; false  ; faux  ; imitation  ; simulated	adjective
artista	  ***  	artist  ; creative person	art
asa  ; mango	  ***  	handle  ; grip  ; handgrip  ; hold	object
asaltar ; atacar	  ***  	attack  ; assail  ; assault  ; set on	verb
asalto ; ataque	  ***  	attack  ; onslaught  ; onset  ; onrush	abstract
ascensión ; ascenso ; subida	  ***  	rise  ; rising  ; ascent  ; ascension	abstract
ascensor	  ***  	elevator  ; lift	device
asiento ; banco ; butaca ; escaño ; silla	  ***  	seat	furniture
asiento ; localidad ; plaza	  ***  	seat  ; place	abstract
asistencia ; ayuda	  ***  	help  ; aid  ; assist  ; assistance	business
asociación ; club ; clube ; sociedad ; círculo	  ***  	club  ; social club  ; society  ; guild  ; gild  ; lodge  ; order	society
asombro ; desconcierto ; sorpresa	  ***  	surprise	relations
astuto	  ***  	sharp  ; astute  ; shrewd	adjective-people
asunto	  ***  	subject  ; dependent	adjective-people
asunto ; cosa	  ***  	matter  ; affair  ; thing	abstract
asunto ; objeto ; tema ; premisa	  ***  	subject  ; topic  ; theme	communication
así	  ***  	so	adverb
así	  ***  	therefore  ; hence  ; thence  ; thus  ; so	adverb
atención	  ***  	attention  ; attending	business
atención ; cuidado	  ***  	care  ; attention  ; aid  ; tending	medicine
aterrizar	  ***  	land  ; set down	verb
atroz ; bárbaro ; brutal ; cruel ; salvaje	  ***  	cruel  ; barbarous  ; brutal  ; fell  ; roughshod  ; savage  ; vicious	adjective
auge ; cima ; pico	  ***  	top  ; peak  ; summit  ; acme  ; height  ; elevation  ; pinnacle  ;  superlative  ; meridian  ; tiptop	abstract
aumentar ; incrementar ; crecer	  ***  	increase	verb
aumento ; crecimiento ; incremento ; multiplicación	  ***  	increase  ; increment  ; growth	abstract
aunque	  ***  	however  ; nevertheless  ; withal  ; still  ; yet  ; all the same  ; even so  ; nonetheless  ; notwithstanding	adverb
auto ; automóvil ; coche ; turismo ; carro ; cacharro	  ***  	car  ; auto  ; automobile  ; machine  ; motorcar	transport
autobús ; colectivo ; camión	  ***  	bus  ; autobus  ; coach  ; charabanc  ; double-decker  ; jitney  ; motorbus  ; motorcoach  ; omnibus  ; passenger vehicle	transport
automático	  ***  	automatic	adjective
autor ; escritor	  ***  	writer  ; author	profession
autoridad ; dirigente ; líder	  ***  	leader	society
autoridad ; dominación ; dominio ; poder ; potencia ; autorización	  ***  	authority  ; authorization  ; authorisation  ; potency  ; dominance  ; say-so	business
autoridad ; dominio	  ***  	dominion  ; rule	society
autoridad ; gobierno ; régimen	  ***  	government  ; authorities  ; regime	society
autorizar ; titular	  ***  	title  ; entitle	verb
ave ; pájaro	  ***  	bird	animal
averiguar ; determinar	  ***  	determine  ; check  ; find out  ; see  ; ascertain  ; watch  ; learn	verb
avión	  ***  	plane  ; airplane  ; aeroplane	transport
ayudar ; asistir	  ***  	help  ; assist  ; aid	verb-basic
azote	  ***  	whip	tool
azul	  ***  	blue  ; bluish  ; blueish	color
azúcar	  ***  	sugar  ; refined sugar	food
año	  ***  	year  ; twelvemonth  ; yr	time
bailar ; saltar	  ***  	dance  ; trip the light fantastic  ; trip the light fantastic toe	verb-basic
bajo	  ***  	low	adjective
bajo ; inferior	  ***  	under  ; nether	adjective
balón ; pelota	  ***  	ball	sports
banco	  ***  	bank  ; depository financial institution  ; banking concern  ; banking company	city
banda	  ***  	band  ; dance band  ; dance orchestra	art
bandera	  ***  	flag	object
barato	  ***  	cheap  ; inexpensive	adjective
barba ; barbilla	  ***  	chin  ; mentum	anatomy
barca	  ***  	boat	transport
barco ; buque ; nave	  ***  	ship	transport
base	  ***  	base  ; base of operations	society
bastante	  ***  	enough  ; plenty	adverb
batido	  ***  	milkshake  ; milk shake  ; shake	drink
baño	  ***  	bathroom  ; bath	house
baño ; letrina	  ***  	toilet  ; lavatory  ; lav  ; can  ; john  ; privy  ; bathroom	house
beber ; tomar	  ***  	drink  ; imbibe	verb-basic
bebida	  ***  	drink  ; beverage  ; drinkable  ; potable	drink
bello ; bonito ; hermoso ; precioso ; espléndido	  ***  	beautiful	adjective-basic
beneficiar	  ***  	benefit  ; do good	verb
beneficiarse	  ***  	profit  ; turn a profit	verb
besar	  ***  	kiss  ; snog  ; buss  ; osculate	verb-basic
beso	  ***  	kiss  ; buss  ; osculation	relations
biblioteca	  ***  	library	city
bicicleta	  ***  	bike  ; bicycle  ; wheel  ; cycle	sports
bien	  ***  	well  ; good	adverb
billete	  ***  	banknote  ; bill  ; note  ; government note  ; bank bill  ; banker's bill  ; bank note  ; Federal Reserve note  ; greenback	business
billete ; pasaje	  ***  	ticket	object
biología	  ***  	biology  ; biological science	science
blanco  ; cándido	  ***  	white	color
blando ; muelle	  ***  	soft	adjective-basic
boca	  ***  	mouth  ; oral cavity  ; oral fissure  ; rima oris	anatomy
bocadillo	  ***  	sandwich	food
boda	  ***  	wedding  ; marriage  ; marriage ceremony	family
boda ; boda nupcial ; casamiento ;	  ***  	wedding  ; wedding ceremony  ; nuptials  ; hymeneals	family
bola ; historia ; mentira ; película ; falsedad	  ***  	lie  ; prevarication	communication
bolsa ; bolso	  ***  	bag	container
bolso	  ***  	bag  ; handbag  ; pocketbook  ; purse	clothes
bomba	  ***  	pump	tool
