Britain	   ***   	United Kingdom  ; UK  ; U.K.  ; Britain  ; United Kingdom of Great Britain and Northern Ireland  ; Great Britain	country
Chine	   ***   	China  ; People's Republic of China  ; mainland China  ; Communist China  ; Red China  ; PRC  ; Cathay	country
Italie	   ***   	Italy  ; Italian Republic  ; Italia	country
Japon	   ***   	Japan  ; Nippon  ; Nihon	country
Royaume d'Espagne	   ***   	Spain  ; Kingdom of Spain  ; Espana	country
République de l'Inde	   ***   	India  ; Republic of India  ; Bharat	country
République française	   ***   	France  ; French Republic	country
République fédérale d'Allemagne	   ***   	Germany  ; Federal Republic of Germany  ; Deutschland  ; FRG	country
République tchèque	   ***   	Czech Republic	country
Terre	   ***   	Earth  ; earth  ; world  ; globe	geography
abdiquer	   ***   	give up  ; surrender	verb
abeille	   ***   	bee	animal
abord	   ***   	first  ; firstly  ; foremost  ; first of all  ; first off	adverb
abricot	   ***   	apricot	fruit
accepter	   ***   	accept  ; take  ; have	verb
accident	   ***   	accident	transport
accord avec	   ***   	agree  ; hold  ; concur  ; concord	verb
accusation	   ***   	complaint  ; charge	business
accuser	   ***   	accuse  ; charge	verb
acheter	   ***   	buy  ; purchase	verb-basic
acide	   ***   	acid	material
acier	   ***   	steel	material
acte	   ***   	act  ; deed  ; human action  ; human activity	abstract
action	   ***   	action	abstract
action	   ***   	share	business
activité	   ***   	activity  ; action  ; activeness	abstract
actrice	   ***   	actress	profession
actuel	   ***   	current	adjective
actuellement	   ***   	now  ; at present	adverb
addition	   ***   	addition  ; summation  ; plus	mathematics
additionner	   ***   	add  ; add together	verb
adjacent	   ***   	next  ; adjacent  ; side by side	adjective
administrer	   ***   	manage  ; deal  ; care  ; handle	verb
adresse	   ***   	address	house
adresse	   ***   	skill  ; science	business
affaire	   ***   	business  ; concern  ; business concern  ; business organization  ; business organisation	business
affaire	   ***   	case  ; instance  ; example	abstract
affamé	   ***   	hungry	adjective-people
affecter	   ***   	affect  ; impact  ; bear upon  ; bear on  ; touch on  ; touch	verb
agir	   ***   	act  ; move	verb
aide	   ***   	help  ; aid  ; assist  ; assistance	business
aider	   ***   	help  ; assist  ; aid	verb-basic
aiguille	   ***   	needle	tool
ail	   ***   	garlic  ; ail	vegetable
aile	   ***   	wing	anatomy
aimer	   ***   	enjoy  ; bask  ; relish  ; savor  ; savour	verb
aimer	   ***   	like	verb-basic
aimer	   ***   	love	verb-basic
ainsi	   ***   	so	adverb
air	   ***   	air	nature
aire	   ***   	area  ; expanse  ; surface area	mathematics
allemand	   ***   	German  ; High German  ; German language	language
aller	   ***   	match  ; fit  ; correspond  ; check  ; jibe  ; gibe  ; tally  ; agree	verb
aller	   ***   	travel  ; go  ; move  ; locomote	verb
allumette	   ***   	match  ; lucifer  ; friction match	tool
alors	   ***   	then  ; so  ; and so  ; and then	adverb
alternative	   ***   	option  ; alternative  ; choice	science
altitude	   ***   	height  ; altitude	geography
amant	   ***   	boyfriend  ; fellow  ; beau  ; swain  ; young man	relations
amas	   ***   	mass	physics
amer	   ***   	bitter	adjective
amical	   ***   	friendly	adjective-people
amour	   ***   	love	feeling
an	   ***   	year  ; twelvemonth  ; yr	time
ananas	   ***   	pineapple  ; ananas	fruit
ancien	   ***   	former  ; erstwhile  ; old  ; onetime  ; one-time  ; quondam  ; sometime	adjective
anglais	   ***   	English  ; English language	language
angle	   ***   	angle	mathematics
animal	   ***   	animal  ; animate being  ; beast  ; brute  ; creature  ; fauna	nature
anneau	   ***   	ring  ; band	clothes
anniversaire	   ***   	birthday	family
annonce	   ***   	announcement  ; proclamation  ; annunciation  ; declaration	communication
annoncer	   ***   	announce  ; denote	verb
anse	   ***   	curve  ; bend	transport
anse	   ***   	handle  ; grip  ; handgrip  ; hold	object
août	   ***   	August  ; Aug	time
appareil photographique	   ***   	camera  ; photographic camera	device
appartement	   ***   	flat  ; apartment	city
appel	   ***   	cry  ; outcry  ; call  ; yell  ; shout  ; vociferation	communication
appeler	   ***   	name  ; call	verb
appeler	   ***   	request  ; bespeak  ; call for  ; quest	verb
apporter	   ***   	bring  ; convey  ; take	verb
apprendre	   ***   	learn  ; larn  ; acquire	verb-basic
approbation	   ***   	approval  ; blessing  ; approving	communication
approximativement	   ***   	approximately  ; about  ; close to  ; just about  ; some  ; roughly  ; more or less  ; around  ; or so	adverb
apprécier	   ***   	rate  ; rank  ; range  ; order  ; grade  ; place	verb
appuyer sur	   ***   	press	verb
après-midi	   ***   	afternoon	time
arbre	   ***   	tree	nature
arc-en-ciel	   ***   	rainbow	weather
argent	   ***   	money	business
argent	   ***   	silver  ; Ag  ; atomic number 47	material
argument	   ***   	argument  ; statement	communication
armée	   ***   	army  ; regular army  ; ground forces	society
arrangement	   ***   	agreement  ; understanding	business
arriver	   ***   	arrive  ; make it  ; get in  ; go far	verb
arriver	   ***   	happen  ; hap  ; go on  ; pass off  ; occur  ; pass  ; fall out  ; come about  ; take place	verb
arriver	   ***   	reach  ; make  ; attain  ; hit  ; arrive at  ; gain	verb
arrière	   ***   	back	abstract
arrondir	   ***   	round off  ; round down  ; round out  ; round	verb
arrêt	   ***   	stop  ; halt	abstract
arrêter	   ***   	stop  ; halt	verb
artiste	   ***   	artist  ; creative person	art
ascenseur	   ***   	elevator  ; lift	device
ascension	   ***   	rise  ; rising  ; ascent  ; ascension	abstract
assez	   ***   	enough  ; plenty	adverb
assiette	   ***   	plate	container
assoiffé	   ***   	thirsty	adjective-people
assurance	   ***   	insurance	business
atmosphère	   ***   	atmosphere  ; air	environment
attaque	   ***   	attack  ; onslaught  ; onset  ; onrush	abstract
attaquer	   ***   	attack  ; assail  ; assault  ; set on	verb
attendre	   ***   	expect  ; look  ; await  ; wait	verb
attendre	   ***   	wait  ; hold off  ; hold back	verb-basic
attention	   ***   	attention  ; attending	business
atterrir	   ***   	land  ; set down	verb
attitude	   ***   	attitude  ; mental attitude	abstract
attraper	   ***   	get  ; acquire	verb-basic
attraper	   ***   	trick  ; flim-flam  ; play a joke on  ; play tricks  ; fob  ; fox  ; pull a fast one on  ; play a trick on	verb
au lieu de	   ***   	instead  ; alternatively  ; or else	adverb
au-dessus de	   ***   	above  ; higher up  ; in a higher place  ; to a higher place	adverb
aucun	   ***   	no	adjective
augmentation	   ***   	increase  ; increment	abstract
augmenter	   ***   	increase	verb
auprès de	   ***   	beside	preposition
aussi	   ***   	too  ; besides  ; also  ; likewise  ; as well	adverb
autobus	   ***   	bus  ; autobus  ; coach  ; charabanc  ; double-decker  ; jitney  ; motorbus  ; motorcoach  ; omnibus  ; passenger vehicle	transport
automatique	   ***   	automatic	adjective
automne	   ***   	autumn  ; fall	time
automobile	   ***   	car  ; auto  ; automobile  ; machine  ; motorcar	transport
autorité	   ***   	authority  ; authorization  ; authorisation  ; potency  ; dominance  ; say-so	business
autour	   ***   	about  ; around	adverb
autre	   ***   	other	adjective
avant	   ***   	before  ; earlier	adverb
