ASEAN,   ***   ,ASEAN  Association of Southeast Asian Nations,,,,
Abchazja,   ***   ,Abkhazia,,,,
Abidżan,   ***   ,Abidjan,,,,
Abudża,   ***   ,Abuja,,,,
Adelajda,   ***   ,Adelaide,,,,
Afganistan,   ***   ,Afghanistan  Transitional Islamic State of Afghanistan,,,,
Afryka,   ***   ,Africa,,,,
Afryka Środkowa,   ***   ,Central Africa,,,,
Albania,   ***   ,Albania  Republic of Albania,,,,
Algieria,   ***   ,Algeria  People's Democratic Republic of Algeria,,,,
Alpy,   ***   ,Alps,,,,
Ameryka,   ***   ,Americas,,,,
Ameryka Środkowa,   ***   ,Central America,,,,
Amsterdam,   ***   ,Amsterdam,,,,
Andora,   ***   ,Andorra  Principality of Andorra,,,,
Anglia,   ***   ,England,,,,
Angola,   ***   ,Angola  Republic of Angola,,,,
Anguilla,   ***   ,Anguilla,,,,
Antarktyda,   ***   ,Antarctica,,,,
Argentyna,   ***   ,Argentina  Argentine Republic,,,,
Arizona,   ***   ,Arizona,,,,
Armenia,   ***   ,Armenia,,,,
Aruba,   ***   ,Aruba,,,,
Astrowate,   ***   ,Asteraceae  sunflower family  Compositae  daisy family  aster family,,,,
Ateny,   ***   ,Athens,,,,
Australia,   ***   ,Australia  Commonwealth of Australia,,,,
Austria,   ***   ,Austria  Republic of Austria,,,,
Austro,   ***   ,Węgry,Austria,Hungary  Austro,Hungarian Empire,
Azerbejdżan,   ***   ,Azerbaijan  Republic of Azerbaijan,,,,
Azja,   ***   ,Asia,,,,
Azja Środkowa,   ***   ,Central Asia,,,,
Azory,   ***   ,Azores,,,,
Bahamy,   ***   ,Bahamas  Commonwealth of the Bahamas  Bahama Islands,,,,
Bahrajn,   ***   ,Bahrain,,,,
Baleary,   ***   ,Balearic Islands,,,,
Bangladesz,   ***   ,Bangladesh  People's Republic of Bangladesh,,,,
Barbados,   ***   ,Barbados,,,,
Bawaria,   ***   ,Bavaria,,,,
Belgia,   ***   ,Belgium  Kingdom of Belgium,,,,
Belgrad,   ***   ,Belgrade,,,,
Belize,   ***   ,Belize,,,,
Belmopan,   ***   ,Belmopan,,,,
Benin,   ***   ,BeninBenin  Benin  Republic of Benin,,,,
Berlin,   ***   ,Berlin,,,,
Bermudy,   ***   ,Bermuda,,,,
Berno,   ***   ,Berne,,,,
Betlejem,   ***   ,Bethlehem,,,,
Bhutan,   ***   ,Bhutan  Kingdom of Bhutan,,,,
Białoruś,   ***   ,Belarus  Republic of Belarus,,,,
Birmingham,   ***   ,Birmingham,,,,
Boliwia,   ***   ,Bolivia  Republic of Bolivia,,,,
Bonn,   ***   ,Bonn,,,,
Borneo,   ***   ,Borneo  Kalimantan,,,,
Botswana,   ***   ,Botswana  Republic of Botswana,,,,
Bratysława,   ***   ,Bratislava,,,,
Brazylia,   ***   ,Brazil,,,,
Bruksela,   ***   ,Brussels,,,,
Brunei,   ***   ,Brunei  Negara Brunei Darussalam,,,,
Bukareszt,   ***   ,Bucharest,,,,
Burundi,   ***   ,Burundi  Republic of Burundi,,,,
Bułgaria,   ***   ,Bulgaria  Republic of Bulgaria,,,,
